number,first,last,position,ops,slg,index,selected,salary
1,Mendoza,Player,N/A,0.25,0.3,0.8,0,535000
2,Matt,Adams,1B,0.276,0.465,1.017,0,1250000
3,Jim,Adduci,CF,0.338,0.465,1.141,0,535000
4,Abraham,Almonte,CF,0.421,0.548,1.39,0,535000
5,Yonder,Alonso,1B,0.296,0.346,0.938,0,535000
6,Humberto,Arteaga,SS,0.258,0.23,0.746,0,535000
7,Tyler,Austin,1B,0.296,0.409,1.001,0,535000
8,Alex,Avila,C,0.353,0.421,1.127,0,4250000
9,Steve,Baron,C,0.264,0.248,0.776,0,535000
10,Gordon,Beckham,2B,0.271,0.372,0.914,0,535000
11,Tim,Beckham,3B,0.293,0.461,1.047,0,535000
12,Greg,Bird,1B,0.293,0.257,0.843,0,535000
13,Gregor,Blanco,RF,0.339,0.406,1.084,0,535000
14,Andres,Blanco,3B,0.364,0.443,1.171,0,535000
15,Emilio,Bonifacio,CF,0.353,0.475,1.181,0,1000000
16,Jorge,Bonifacio,RF,0.284,0.417,0.985,0,535000
17,Justin,Bour,1B,0.259,0.364,0.882,0,535000
18,Rob,Brantly,C,0.404,0.462,1.27,0,535000
19,Keon,Broxton,RF,0.242,0.275,0.759,0,535000
20,Drew,Butera,C,0.229,0.233,0.691,0,535000
21,Asdrubal,Cabrera,2B,0.342,0.441,1.125,0,2500000
22,Melky,Cabrera,LF,0.313,0.399,1.025,0,535000
23,Kole,Calhoun,RF,0.325,0.467,1.117,0,8000000
24,Nick,Castellanos,RF,0.337,0.525,1.199,0,16000000
25,Wilkin,Castillo,C,0.31,0.408,1.028,0,535000
26,Welington,Castillo,C,0.267,0.417,0.951,0,535000
27,Starlin,Castro,2B,0.3,0.436,1.036,0,6000000
28,Jason,Castro,C,0.332,0.435,1.099,0,6850000
29,Juan,Centeno,C,0.278,0.133,0.689,0,535000
30,Francisco,Cervelli,C,0.302,0.348,0.952,0,2000000
31,Robinson,Chirinos,C,0.347,0.443,1.137,0,6750000
32,Christian,Colon,2B,0.372,0.443,1.187,0,535000
33,Ryan,Cordell,LF,0.29,0.355,0.935,0,535000
34,Kaleb,Cowart,DH,0.192,0.28,0.664,0,535000
35,Zack,Cozart,3B,0.178,0.144,0.5,0,535000
36,C.J.,Cron,1B,0.311,0.469,1.091,0,6100000
37,Charlie,Culberson,2B,0.294,0.437,1.025,0,1000000
38,Cheslor,Cuthbert,3B,0.294,0.379,0.967,0,535000
39,Travis,d'Arnaud,C,0.312,0.433,1.057,0,8000000
40,Rajai,Davis,CF,0.334,0.41,1.078,0,535000
41,Elias,Diaz,C,0.296,0.307,0.899,0,535000
42,Corey,Dickerson,LF,0.341,0.565,1.247,0,8750000
43,Derek,Dietrich,2B,0.328,0.462,1.118,0,535000
44,Josh,Donaldson,3B,0.379,0.521,1.279,0,23000000
45,Brian,Dozier,2B,0.238,0.34,0.816,0,2200000
46,Matt,Duffy,3B,0.343,0.327,1.013,0,1000000
47,Jarrod,Dyson,CF,0.313,0.32,0.946,0,2000000
48,Edwin,Encarnacion,DH,0.344,0.531,1.219,0,12000000
49,Alcides,Escobar,SS,0.343,0.444,1.13,0,535000
50,Danny,Espinosa,SS,0.338,0.44,1.116,0,535000
51,Tim,Federowicz,C,0.213,0.347,0.773,0,535000
52,Wilmer,Flores,2B,0.361,0.487,1.209,0,3125000
53,Logan,Forsythe,2B,0.325,0.353,1.003,0,535000
54,Maikel,Franco,3B,0.297,0.409,1.003,0,2950000
55,Nick,Franklin,LF,0.323,0.373,1.019,0,535000
56,Todd,Frazier,3B,0.329,0.443,1.101,0,5000000
57,Isaac,Galloway,RF,0.167,0.185,0.519,0,535000
58,Avisail,Garcia,RF,0.332,0.464,1.128,0,10000000
59,Brett,Gardner,LF,0.325,0.503,1.153,0,12500000
60,Dustin,Garneau,C,0.35,0.407,1.107,0,650000
61,Mike,Gerber,OF,0.368,0.569,1.305,0,535000
62,Ryan,Goins,2B,0.333,0.347,1.013,0,535000
63,Yan,Gomes,C,0.316,0.389,1.021,0,5000000
64,Carlos,Gomez,RF,0.278,0.337,0.893,0,535000
65,Alex,Gordon,OF,0.345,0.396,1.086,0,4000000
66,Philip,Gosselin,2B,0.294,0.308,0.896,0,535000
67,Yasmani,Grandal,C,0.38,0.468,1.228,0,18250000
68,Juan,Graterol,C,0.301,0.325,0.927,0,535000
69,Didi,Gregorius,SS,0.276,0.441,0.993,0,14000000
70,Brandon,Guyer,LF,0.3,0.371,0.971,0,1000000
71,Jedd,Gyorko,3B,0.168,0.372,0.708,0,2000000
72,Billy,Hamilton,CF,0.375,0.317,1.067,0,535000
73,Ryon,Healy,1B,0.289,0.456,1.034,0,1000000
74,Adeiny,Hechavarria,SS,0.299,0.443,1.041,0,1000000
75,Guillermo,Heredia,CF,0.306,0.363,0.975,0,1000000
76,Marco,Hernandez,3B,0.279,0.338,0.896,0,650000
77,Cesar,Hernandez,2B,0.333,0.408,1.074,0,6250000
